******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : *hauawc

word : hew anchor( col :  7 row : 7 ) score : 16 new tiles : hew    Heuristic : 9.5
word : ae anchor( col :  7 row : 7 ) score : 2 new tiles : ae    Heuristic : -2
word : hae anchor( col :  7 row : 7 ) score : 10 new tiles : hae    Heuristic : 5.5
word : whae anchor( col :  7 row : 7 ) score : 18 new tiles : whae    Heuristic : 15.5
word : wae anchor( col :  7 row : 7 ) score : 10 new tiles : wae    Heuristic : 10
word : hue anchor( col :  7 row : 7 ) score : 10 new tiles : hue    Heuristic : 5.5
word : aue anchor( col :  7 row : 7 ) score : 4 new tiles : aue    Heuristic : 1
word : cue anchor( col :  7 row : 7 ) score : 8 new tiles : cue    Heuristic : 4.5
word : we anchor( col :  7 row : 7 ) score : 8 new tiles : we    Heuristic : 4
word : awe anchor( col :  7 row : 7 ) score : 10 new tiles : awe    Heuristic : 10
word : ace anchor( col :  7 row : 7 ) score : 8 new tiles : ace    Heuristic : 4.5
word : eh anchor( col :  7 row : 7 ) score : 8 new tiles : eh    Heuristic : -0.5
word : ea anchor( col :  7 row : 7 ) score : 2 new tiles : ea    Heuristic : -2
word : eau anchor( col :  7 row : 7 ) score : 4 new tiles : eau    Heuristic : 1
word : each anchor( col :  7 row : 7 ) score : 16 new tiles : each    Heuristic : 10
word : ech anchor( col :  7 row : 7 ) score : 14 new tiles : ech    Heuristic : 4
word : ecu anchor( col :  7 row : 7 ) score : 8 new tiles : ecu    Heuristic : 4.5
word : haaf anchor( col :  7 row : 7 ) score : 12 new tiles : haaf    Heuristic : 5.5
word : chufa anchor( col :  7 row : 7 ) score : 18 new tiles : chufa    Heuristic : 16
word : auf anchor( col :  7 row : 7 ) score : 4 new tiles : auf    Heuristic : 1
word : hauf anchor( col :  7 row : 7 ) score : 12 new tiles : hauf    Heuristic : 9.5
word : cauf anchor( col :  7 row : 7 ) score : 10 new tiles : cauf    Heuristic : 8.5
word : fa anchor( col :  7 row : 7 ) score : 2 new tiles : fa    Heuristic : -2
word : fah anchor( col :  7 row : 7 ) score : 10 new tiles : fah    Heuristic : 5.5
word : faa anchor( col :  7 row : 7 ) score : 4 new tiles : faa    Heuristic : -3
word : faw anchor( col :  7 row : 7 ) score : 10 new tiles : faw    Heuristic : 10
word : ag anchor( col :  7 row : 7 ) score : 2 new tiles : ag    Heuristic : -2
word : hag anchor( col :  7 row : 7 ) score : 10 new tiles : hag    Heuristic : 5.5
word : wag anchor( col :  7 row : 7 ) score : 10 new tiles : wag    Heuristic : 10
word : cag anchor( col :  7 row : 7 ) score : 8 new tiles : cag    Heuristic : 4.5
word : agha anchor( col :  7 row : 7 ) score : 12 new tiles : agha    Heuristic : 5.5
word : aga anchor( col :  7 row : 7 ) score : 4 new tiles : aga    Heuristic : -3
word : ug anchor( col :  7 row : 7 ) score : 2 new tiles : ug    Heuristic : -2
word : hug anchor( col :  7 row : 7 ) score : 10 new tiles : hug    Heuristic : 5.5
word : chug anchor( col :  7 row : 7 ) score : 16 new tiles : chug    Heuristic : 10
word : waugh anchor( col :  7 row : 7 ) score : 20 new tiles : waugh    Heuristic : 21.5
word : ugh anchor( col :  7 row : 7 ) score : 10 new tiles : ugh    Heuristic : 5.5
word : gau anchor( col :  7 row : 7 ) score : 4 new tiles : gau    Heuristic : 1
word : gaw anchor( col :  7 row : 7 ) score : 10 new tiles : gaw    Heuristic : 10
word : gu anchor( col :  7 row : 7 ) score : 2 new tiles : gu    Heuristic : -2
word : ah anchor( col :  7 row : 7 ) score : 10 new tiles : ah    Heuristic : 6
word : hah anchor( col :  7 row : 7 ) score : 10 new tiles : hah    Heuristic : 5.5
word : haha anchor( col :  7 row : 7 ) score : 12 new tiles : haha    Heuristic : 5.5
word : aah anchor( col :  7 row : 7 ) score : 12 new tiles : aah    Heuristic : 5
word : aha anchor( col :  7 row : 7 ) score : 12 new tiles : aha    Heuristic : 5
word : uh anchor( col :  7 row : 7 ) score : 10 new tiles : uh    Heuristic : 6
word : huh anchor( col :  7 row : 7 ) score : 10 new tiles : huh    Heuristic : 5.5
word : wha anchor( col :  7 row : 7 ) score : 18 new tiles : wha    Heuristic : 18
word : ch anchor( col :  7 row : 7 ) score : 14 new tiles : ch    Heuristic : 6.5
word : ach anchor( col :  7 row : 7 ) score : 16 new tiles : ach    Heuristic : 12.5
word : cha anchor( col :  7 row : 7 ) score : 16 new tiles : cha    Heuristic : 12.5
word : chaw anchor( col :  7 row : 7 ) score : 24 new tiles : chaw    Heuristic : 22.5
word : ha anchor( col :  7 row : 7 ) score : 10 new tiles : ha    Heuristic : 6
word : hah anchor( col :  7 row : 7 ) score : 10 new tiles : hah    Heuristic : 5.5
word : haha anchor( col :  7 row : 7 ) score : 12 new tiles : haha    Heuristic : 5.5
word : haw anchor( col :  7 row : 7 ) score : 18 new tiles : haw    Heuristic : 18
word : huh anchor( col :  7 row : 7 ) score : 10 new tiles : huh    Heuristic : 5.5
word : hi anchor( col :  7 row : 7 ) score : 8 new tiles : hi    Heuristic : -0.5
word : ahi anchor( col :  7 row : 7 ) score : 10 new tiles : ahi    Heuristic : 5.5
word : chi anchor( col :  7 row : 7 ) score : 14 new tiles : chi    Heuristic : 4
word : chia anchor( col :  7 row : 7 ) score : 16 new tiles : chia    Heuristic : 10
word : hic anchor( col :  7 row : 7 ) score : 14 new tiles : hic    Heuristic : 4
word : ai anchor( col :  7 row : 7 ) score : 2 new tiles : ai    Heuristic : -2
word : chai anchor( col :  7 row : 7 ) score : 16 new tiles : chai    Heuristic : 10
word : wai anchor( col :  7 row : 7 ) score : 10 new tiles : wai    Heuristic : 10
word : acai anchor( col :  7 row : 7 ) score : 10 new tiles : acai    Heuristic : 4.5
word : aia anchor( col :  7 row : 7 ) score : 4 new tiles : aia    Heuristic : -3
word : hui anchor( col :  7 row : 7 ) score : 10 new tiles : hui    Heuristic : 5.5
word : huia anchor( col :  7 row : 7 ) score : 12 new tiles : huia    Heuristic : 9.5
word : huic anchor( col :  7 row : 7 ) score : 16 new tiles : huic    Heuristic : 10
word : wich anchor( col :  7 row : 7 ) score : 22 new tiles : wich    Heuristic : 14
word : ich anchor( col :  7 row : 7 ) score : 14 new tiles : ich    Heuristic : 4
word : haj anchor( col :  7 row : 7 ) score : 10 new tiles : haj    Heuristic : 5.5
word : ja anchor( col :  7 row : 7 ) score : 2 new tiles : ja    Heuristic : -2
word : jaw anchor( col :  7 row : 7 ) score : 10 new tiles : jaw    Heuristic : 10
word : haku anchor( col :  7 row : 7 ) score : 12 new tiles : haku    Heuristic : 9.5
word : haka anchor( col :  7 row : 7 ) score : 12 new tiles : haka    Heuristic : 5.5
word : waka anchor( col :  7 row : 7 ) score : 12 new tiles : waka    Heuristic : 10
word : aka anchor( col :  7 row : 7 ) score : 4 new tiles : aka    Heuristic : -3
word : auk anchor( col :  7 row : 7 ) score : 4 new tiles : auk    Heuristic : 1
word : wauk anchor( col :  7 row : 7 ) score : 12 new tiles : wauk    Heuristic : 14
word : cauk anchor( col :  7 row : 7 ) score : 10 new tiles : cauk    Heuristic : 8.5
word : awk anchor( col :  7 row : 7 ) score : 10 new tiles : awk    Heuristic : 10
word : hawk anchor( col :  7 row : 7 ) score : 18 new tiles : hawk    Heuristic : 15.5
word : chawk anchor( col :  7 row : 7 ) score : 30 new tiles : chawk    Heuristic : 26
word : cawk anchor( col :  7 row : 7 ) score : 16 new tiles : cawk    Heuristic : 14.5
word : hack anchor( col :  7 row : 7 ) score : 16 new tiles : hack    Heuristic : 10
word : whack anchor( col :  7 row : 7 ) score : 32 new tiles : whack    Heuristic : 28
word : wack anchor( col :  7 row : 7 ) score : 16 new tiles : wack    Heuristic : 14.5
word : huck anchor( col :  7 row : 7 ) score : 16 new tiles : huck    Heuristic : 10
word : ka anchor( col :  7 row : 7 ) score : 2 new tiles : ka    Heuristic : -2
word : kaw anchor( col :  7 row : 7 ) score : 10 new tiles : kaw    Heuristic : 10
word : kawa anchor( col :  7 row : 7 ) score : 12 new tiles : kawa    Heuristic : 10
word : kawau anchor( col :  7 row : 7 ) score : 16 new tiles : kawau    Heuristic : 15
word : kacha anchor( col :  7 row : 7 ) score : 20 new tiles : kacha    Heuristic : 14
word : kwacha anchor( col :  7 row : 7 ) score : 34 new tiles : kwacha    Heuristic : 30
word : al anchor( col :  7 row : 7 ) score : 2 new tiles : al    Heuristic : -2
word : chal anchor( col :  7 row : 7 ) score : 16 new tiles : chal    Heuristic : 10
word : aal anchor( col :  7 row : 7 ) score : 4 new tiles : aal    Heuristic : -3
word : alu anchor( col :  7 row : 7 ) score : 4 new tiles : alu    Heuristic : 1
word : ala anchor( col :  7 row : 7 ) score : 4 new tiles : ala    Heuristic : -3
word : hula anchor( col :  7 row : 7 ) score : 12 new tiles : hula    Heuristic : 9.5
word : haul anchor( col :  7 row : 7 ) score : 12 new tiles : haul    Heuristic : 9.5
word : waul anchor( col :  7 row : 7 ) score : 12 new tiles : waul    Heuristic : 14
word : caul anchor( col :  7 row : 7 ) score : 10 new tiles : caul    Heuristic : 8.5
word : aula anchor( col :  7 row : 7 ) score : 6 new tiles : aula    Heuristic : 0
word : awl anchor( col :  7 row : 7 ) score : 10 new tiles : awl    Heuristic : 10
word : claw anchor( col :  7 row : 7 ) score : 16 new tiles : claw    Heuristic : 14.5
word : la anchor( col :  7 row : 7 ) score : 2 new tiles : la    Heuristic : -2
word : lah anchor( col :  7 row : 7 ) score : 10 new tiles : lah    Heuristic : 5.5
word : lauch anchor( col :  7 row : 7 ) score : 26 new tiles : lauch    Heuristic : 24
word : law anchor( col :  7 row : 7 ) score : 10 new tiles : law    Heuristic : 10
word : lac anchor( col :  7 row : 7 ) score : 8 new tiles : lac    Heuristic : 4.5
word : luach anchor( col :  7 row : 7 ) score : 26 new tiles : luach    Heuristic : 24
word : hm anchor( col :  7 row : 7 ) score : 8 new tiles : hm    Heuristic : -0.5
word : am anchor( col :  7 row : 7 ) score : 2 new tiles : am    Heuristic : -2
word : ham anchor( col :  7 row : 7 ) score : 10 new tiles : ham    Heuristic : 5.5
word : wham anchor( col :  7 row : 7 ) score : 18 new tiles : wham    Heuristic : 15.5
word : cham anchor( col :  7 row : 7 ) score : 16 new tiles : cham    Heuristic : 10
word : cam anchor( col :  7 row : 7 ) score : 8 new tiles : cam    Heuristic : 4.5
word : cama anchor( col :  7 row : 7 ) score : 10 new tiles : cama    Heuristic : 4.5
word : amu anchor( col :  7 row : 7 ) score : 4 new tiles : amu    Heuristic : 1
word : ama anchor( col :  7 row : 7 ) score : 4 new tiles : ama    Heuristic : -3
