******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : nxapcas

word : an anchor( col :  7 row : 7 ) score : 4 new tiles : an    Heuristic : 6
word : pan anchor( col :  7 row : 7 ) score : 10 new tiles : pan    Heuristic : 14.5
word : sapan anchor( col :  7 row : 7 ) score : 16 new tiles : sapan    Heuristic : 11
word : span anchor( col :  7 row : 7 ) score : 12 new tiles : span    Heuristic : 10
word : panax anchor( col :  7 row : 7 ) score : 28 new tiles : panax    Heuristic : 34
word : pans anchor( col :  7 row : 7 ) score : 12 new tiles : pans    Heuristic : 10
word : can anchor( col :  7 row : 7 ) score : 10 new tiles : can    Heuristic : 13.5
word : scan anchor( col :  7 row : 7 ) score : 12 new tiles : scan    Heuristic : 9
word : cans anchor( col :  7 row : 7 ) score : 12 new tiles : cans    Heuristic : 9
word : paan anchor( col :  7 row : 7 ) score : 12 new tiles : paan    Heuristic : 13.5
word : paans anchor( col :  7 row : 7 ) score : 14 new tiles : paans    Heuristic : 9
word : san anchor( col :  7 row : 7 ) score : 6 new tiles : san    Heuristic : 1.5
word : ana anchor( col :  7 row : 7 ) score : 6 new tiles : ana    Heuristic : 5
word : anas anchor( col :  7 row : 7 ) score : 8 new tiles : anas    Heuristic : 0.5
word : ans anchor( col :  7 row : 7 ) score : 6 new tiles : ans    Heuristic : 1.5
word : ansa anchor( col :  7 row : 7 ) score : 8 new tiles : ansa    Heuristic : 0.5
word : snap anchor( col :  7 row : 7 ) score : 12 new tiles : snap    Heuristic : 10
word : na anchor( col :  7 row : 7 ) score : 4 new tiles : na    Heuristic : 6
word : nap anchor( col :  7 row : 7 ) score : 10 new tiles : nap    Heuristic : 14.5
word : napa anchor( col :  7 row : 7 ) score : 12 new tiles : napa    Heuristic : 13.5
word : napas anchor( col :  7 row : 7 ) score : 16 new tiles : napas    Heuristic : 11
word : naps anchor( col :  7 row : 7 ) score : 12 new tiles : naps    Heuristic : 10
word : nas anchor( col :  7 row : 7 ) score : 6 new tiles : nas    Heuristic : 1.5
word : ax anchor( col :  7 row : 7 ) score : 18 new tiles : ax    Heuristic : 24
word : panax anchor( col :  7 row : 7 ) score : 34 new tiles : panax    Heuristic : 40
word : pax anchor( col :  7 row : 7 ) score : 24 new tiles : pax    Heuristic : 32.5
word : sax anchor( col :  7 row : 7 ) score : 20 new tiles : sax    Heuristic : 19.5
word : na anchor( col :  7 row : 7 ) score : 4 new tiles : na    Heuristic : 6
word : ana anchor( col :  7 row : 7 ) score : 6 new tiles : ana    Heuristic : 5
word : panax anchor( col :  7 row : 7 ) score : 28 new tiles : panax    Heuristic : 34
word : anas anchor( col :  7 row : 7 ) score : 8 new tiles : anas    Heuristic : 0.5
word : snap anchor( col :  7 row : 7 ) score : 12 new tiles : snap    Heuristic : 10
word : nap anchor( col :  7 row : 7 ) score : 10 new tiles : nap    Heuristic : 14.5
word : napa anchor( col :  7 row : 7 ) score : 12 new tiles : napa    Heuristic : 13.5
word : napas anchor( col :  7 row : 7 ) score : 14 new tiles : napas    Heuristic : 9
