******HUMAN TURN******

******HUMAN RESULT******
RACK : U*OTPRN

HUMAN MOVE : torn , new tiles : otrn , score : 8 , direction : 1 , col : 11 , row : 7


******COMPUTER TURN******
RACK : u*jxqse

word : oh anchor( col :  8 row : 8 ) score : 1 new tiles : h    Heuristic : -7.5
word : oi anchor( col :  8 row : 8 ) score : 1 new tiles : i    Heuristic : -7.5
word : om anchor( col :  8 row : 8 ) score : 1 new tiles : m    Heuristic : -7.5
word : on anchor( col :  8 row : 8 ) score : 1 new tiles : n    Heuristic : -7.5
word : oo anchor( col :  8 row : 8 ) score : 1 new tiles : o    Heuristic : -7.5
word : op anchor( col :  8 row : 8 ) score : 1 new tiles : p    Heuristic : -7.5
word : or anchor( col :  8 row : 8 ) score : 1 new tiles : r    Heuristic : -7.5
word : os anchor( col :  8 row : 8 ) score : 3 new tiles : s    Heuristic : -5.5
word : ou anchor( col :  8 row : 8 ) score : 3 new tiles : u    Heuristic : -5.5
word : ow anchor( col :  8 row : 8 ) score : 1 new tiles : w    Heuristic : -7.5
word : ox anchor( col :  8 row : 8 ) score : 17 new tiles : x    Heuristic : 8.5
word : oy anchor( col :  8 row : 8 ) score : 1 new tiles : y    Heuristic : -7.5
word : ox anchor( col :  8 row : 8 ) score : 17 new tiles : x    Heuristic : 37.5
word : os anchor( col :  8 row : 8 ) score : 3 new tiles : s    Heuristic : 12.5
word : oe anchor( col :  8 row : 8 ) score : 3 new tiles : e    Heuristic : 13
word : re anchor( col :  9 row : 8 ) score : 2 new tiles : e    Heuristic : -6.5
word : re anchor( col :  9 row : 8 ) score : 2 new tiles : e    Heuristic : 12
word : nu anchor( col :  10 row : 8 ) score : 2 new tiles : u    Heuristic : 19
word : na anchor( col :  10 row : 8 ) score : 1 new tiles : a    Heuristic : -7.5
word : ne anchor( col :  10 row : 8 ) score : 2 new tiles : e    Heuristic : -6.5
word : no anchor( col :  10 row : 8 ) score : 1 new tiles : o    Heuristic : -7.5
word : nu anchor( col :  10 row : 8 ) score : 2 new tiles : u    Heuristic : -6.5
word : ny anchor( col :  10 row : 8 ) score : 1 new tiles : y    Heuristic : -7.5
word : ne anchor( col :  10 row : 8 ) score : 2 new tiles : e    Heuristic : 12
word : it anchor( col :  7 row : 6 ) score : 2 new tiles : i    Heuristic : -4.5
