******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : hifycrq

word : fry anchor( col :  7 row : 7 ) score : 18 new tiles : fry    Heuristic : 6
word : cry anchor( col :  7 row : 7 ) score : 16 new tiles : cry    Heuristic : 2.5
word : hic anchor( col :  7 row : 7 ) score : 16 new tiles : hic    Heuristic : -1
word : rich anchor( col :  7 row : 7 ) score : 18 new tiles : rich    Heuristic : 0.5
word : ricy anchor( col :  7 row : 7 ) score : 18 new tiles : ricy    Heuristic : 3
word : ich anchor( col :  7 row : 7 ) score : 16 new tiles : ich    Heuristic : -1
word : icy anchor( col :  7 row : 7 ) score : 16 new tiles : icy    Heuristic : 1.5
word : fir anchor( col :  7 row : 7 ) score : 12 new tiles : fir    Heuristic : -4.5
word : fry anchor( col :  7 row : 7 ) score : 18 new tiles : fry    Heuristic : 6
word : cry anchor( col :  7 row : 7 ) score : 16 new tiles : cry    Heuristic : 2.5
word : fiqh anchor( col :  7 row : 7 ) score : 38 new tiles : fiqh    Heuristic : 35
word : si anchor( col :  8 row : 6 ) score : 3 new tiles : s    Heuristic : -14.5
word : sis anchor( col :  8 row : 6 ) score : 5 new tiles : ss    Heuristic : -7.5
word : siss anchor( col :  8 row : 6 ) score : 6 new tiles : sss    Heuristic : -1.5
word : sh anchor( col :  10 row : 6 ) score : 5 new tiles : s    Heuristic : -12.5
word : fiqhs anchor( col :  11 row : 7 ) score : 21 new tiles : s    Heuristic : 3.5
word : is anchor( col :  8 row : 8 ) score : 3 new tiles : s    Heuristic : -14.5
word : hi anchor( col :  7 row : 6 ) score : 14 new tiles : hi    Heuristic : -4.5
word : chi anchor( col :  7 row : 6 ) score : 17 new tiles : chi    Heuristic : 0
word : qi anchor( col :  7 row : 6 ) score : 26 new tiles : qi    Heuristic : 19.5
word : if anchor( col :  7 row : 6 ) score : 5 new tiles : i    Heuristic : -14
word : rif anchor( col :  7 row : 6 ) score : 6 new tiles : ri    Heuristic : -13.5
word : riff anchor( col :  7 row : 6 ) score : 10 new tiles : rif    Heuristic : -6.5
word : iff anchor( col :  7 row : 6 ) score : 9 new tiles : if    Heuristic : -7
word : iffy anchor( col :  7 row : 6 ) score : 13 new tiles : ify    Heuristic : 0
word : iff anchor( col :  7 row : 6 ) score : 9 new tiles : if    Heuristic : -7
word : riff anchor( col :  7 row : 6 ) score : 10 new tiles : rif    Heuristic : -6.5
word : iffy anchor( col :  7 row : 6 ) score : 13 new tiles : ify    Heuristic : 0
word : hi anchor( col :  8 row : 6 ) score : 9 new tiles : h    Heuristic : -8
word : chi anchor( col :  8 row : 6 ) score : 12 new tiles : ch    Heuristic : -3.5
word : hic anchor( col :  8 row : 6 ) score : 15 new tiles : hc    Heuristic : -0.5
word : fir anchor( col :  8 row : 6 ) score : 11 new tiles : fr    Heuristic : -4
word : fiqh anchor( col :  8 row : 6 ) score : 33 new tiles : fqh    Heuristic : 31.5
word : rif anchor( col :  8 row : 6 ) score : 11 new tiles : rf    Heuristic : -4
word : rich anchor( col :  8 row : 6 ) score : 13 new tiles : rch    Heuristic : -3
word : ricy anchor( col :  8 row : 6 ) score : 13 new tiles : rcy    Heuristic : -0.5
