******HUMAN TURN******

******HUMAN RESULT******
RACK : TAWYUHZ

HUMAN MOVE : way , new tiles : awy , score : 18 , direction : 1 , col : 10 , row : 7


******COMPUTER TURN******
RACK : ffkotbp

word : bop anchor( col :  10 row : 8 ) score : 7 new tiles : p    Heuristic : -6.5
word : abo anchor( col :  8 row : 9 ) score : 5 new tiles : o    Heuristic : -11.5
word : abb anchor( col :  8 row : 9 ) score : 7 new tiles : b    Heuristic : -4.5
word : yok anchor( col :  9 row : 9 ) score : 20 new tiles : k    Heuristic : 7.5
word : yob anchor( col :  9 row : 9 ) score : 14 new tiles : b    Heuristic : 2.5
word : aw anchor( col :  7 row : 6 ) score : 5 new tiles : a    Heuristic : -6.5
word : haw anchor( col :  7 row : 6 ) score : 9 new tiles : ha    Heuristic : -2
word : thaw anchor( col :  7 row : 6 ) score : 10 new tiles : tha    Heuristic : -1
word : taw anchor( col :  7 row : 6 ) score : 6 new tiles : ta    Heuristic : -4.5
word : waw anchor( col :  7 row : 6 ) score : 9 new tiles : wa    Heuristic : 2.5
word : jaw anchor( col :  7 row : 6 ) score : 13 new tiles : ja    Heuristic : 5.5
word : twa anchor( col :  7 row : 6 ) score : 11 new tiles : ta    Heuristic : 0.5
word : at anchor( col :  8 row : 6 ) score : 14 new tiles : at    Heuristic : 3.5
word : hat anchor( col :  8 row : 6 ) score : 22 new tiles : hat    Heuristic : 11
word : wat anchor( col :  8 row : 6 ) score : 22 new tiles : wat    Heuristic : 15.5
word : tab anchor( col :  8 row : 6 ) score : 6 new tiles : t    Heuristic : -2.5
word : wab anchor( col :  8 row : 6 ) score : 12 new tiles : w    Heuristic : 7.5
word : jab anchor( col :  8 row : 6 ) score : 20 new tiles : j    Heuristic : 14.5
word : away anchor( col :  6 row : 7 ) score : 10 new tiles : a    Heuristic : -1.5
word : tway anchor( col :  6 row : 7 ) score : 10 new tiles : t    Heuristic : 1.5
word : boa anchor( col :  10 row : 8 ) score : 5 new tiles : a    Heuristic : -6.5
word : boh anchor( col :  10 row : 8 ) score : 8 new tiles : h    Heuristic : -1
word : bot anchor( col :  10 row : 8 ) score : 5 new tiles : t    Heuristic : -3.5
word : bow anchor( col :  10 row : 8 ) score : 8 new tiles : w    Heuristic : 3.5
word : ka anchor( col :  10 row : 9 ) score : 6 new tiles : a    Heuristic : -5.5
word : faw anchor( col :  7 row : 5 ) score : 9 new tiles : f    Heuristic : -3.5
word : taw anchor( col :  7 row : 5 ) score : 6 new tiles : t    Heuristic : -8.5
word : paw anchor( col :  7 row : 5 ) score : 8 new tiles : p    Heuristic : -5
word : yaw anchor( col :  7 row : 5 ) score : 9 new tiles : y    Heuristic : -3.5
word : fat anchor( col :  6 row : 6 ) score : 10 new tiles : f    Heuristic : -2.5
word : oat anchor( col :  6 row : 6 ) score : 4 new tiles : o    Heuristic : -12
word : boat anchor( col :  6 row : 6 ) score : 7 new tiles : bo    Heuristic : -4.5
word : tat anchor( col :  6 row : 6 ) score : 4 new tiles : t    Heuristic : -10.5
word : bat anchor( col :  6 row : 6 ) score : 8 new tiles : b    Heuristic : -3
word : pat anchor( col :  6 row : 6 ) score : 8 new tiles : p    Heuristic : -5
