******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : ighqlnh

word : gi anchor( col :  7 row : 7 ) score : 6 new tiles : gi    Heuristic : -13
word : gin anchor( col :  7 row : 7 ) score : 8 new tiles : gin    Heuristic : -10.5
word : hi anchor( col :  7 row : 7 ) score : 10 new tiles : hi    Heuristic : -7.5
word : ghi anchor( col :  7 row : 7 ) score : 14 new tiles : ghi    Heuristic : -0.5
word : high anchor( col :  7 row : 7 ) score : 22 new tiles : high    Heuristic : 8
word : hin anchor( col :  7 row : 7 ) score : 12 new tiles : hin    Heuristic : -5
word : hing anchor( col :  7 row : 7 ) score : 16 new tiles : hing    Heuristic : 2
word : qi anchor( col :  7 row : 7 ) score : 22 new tiles : qi    Heuristic : 12.5
word : qin anchor( col :  7 row : 7 ) score : 24 new tiles : qin    Heuristic : 15
word : li anchor( col :  7 row : 7 ) score : 4 new tiles : li    Heuristic : -16
word : lig anchor( col :  7 row : 7 ) score : 8 new tiles : lig    Heuristic : -9
word : lin anchor( col :  7 row : 7 ) score : 6 new tiles : lin    Heuristic : -13.5
word : ling anchor( col :  7 row : 7 ) score : 10 new tiles : ling    Heuristic : -6.5
word : nigh anchor( col :  7 row : 7 ) score : 16 new tiles : nigh    Heuristic : 2
word : nil anchor( col :  7 row : 7 ) score : 6 new tiles : nil    Heuristic : -13.5
word : in anchor( col :  7 row : 7 ) score : 4 new tiles : in    Heuristic : -17.5
word : ing anchor( col :  7 row : 7 ) score : 8 new tiles : ing    Heuristic : -10.5
word : high anchor( col :  7 row : 7 ) score : 22 new tiles : high    Heuristic : 8
word : lig anchor( col :  7 row : 7 ) score : 8 new tiles : lig    Heuristic : -9
word : nigh anchor( col :  7 row : 7 ) score : 16 new tiles : nigh    Heuristic : 2
word : ing anchor( col :  7 row : 7 ) score : 8 new tiles : ing    Heuristic : -10.5
word : hing anchor( col :  7 row : 7 ) score : 16 new tiles : hing    Heuristic : 2
word : ling anchor( col :  7 row : 7 ) score : 10 new tiles : ling    Heuristic : -6.5
word : gi anchor( col :  7 row : 7 ) score : 6 new tiles : gi    Heuristic : -13
word : gin anchor( col :  7 row : 7 ) score : 8 new tiles : gin    Heuristic : -10.5
word : ghi anchor( col :  7 row : 7 ) score : 14 new tiles : ghi    Heuristic : -0.5
word : nigh anchor( col :  7 row : 7 ) score : 16 new tiles : nigh    Heuristic : 2
word : high anchor( col :  7 row : 7 ) score : 22 new tiles : high    Heuristic : 8
word : ghi anchor( col :  7 row : 7 ) score : 14 new tiles : ghi    Heuristic : -0.5
word : hi anchor( col :  7 row : 7 ) score : 10 new tiles : hi    Heuristic : -7.5
word : high anchor( col :  7 row : 7 ) score : 22 new tiles : high    Heuristic : 8
word : hin anchor( col :  7 row : 7 ) score : 12 new tiles : hin    Heuristic : -5
word : hing anchor( col :  7 row : 7 ) score : 16 new tiles : hing    Heuristic : 2
word : qi anchor( col :  7 row : 7 ) score : 22 new tiles : qi    Heuristic : 12.5
