******HUMAN TURN******

-----HUMAN EXCHANGE TILE-----

Exchange :  B J D L
New Tiles :  A W R D


******HUMAN RESULT******
RACK : AWRDQKL

HUMAN MOVE : ward , score : 16 , direction : 1 , col : 10 , row : 7


******COMPUTER TURN******
RACK : popoayf

word : faro anchor( col :  8 row : 6 ) score : 9 new tiles : fao    Heuristic : 1.5
word : ar anchor( col :  8 row : 6 ) score : 3 new tiles : a    Heuristic : -9
word : arf anchor( col :  8 row : 6 ) score : 11 new tiles : af    Heuristic : 2
word : fro anchor( col :  8 row : 6 ) score : 11 new tiles : fo    Heuristic : 6.5
word : frap anchor( col :  8 row : 6 ) score : 14 new tiles : fap    Heuristic : 7.5
word : fray anchor( col :  8 row : 6 ) score : 15 new tiles : fay    Heuristic : 8
word : fry anchor( col :  8 row : 6 ) score : 17 new tiles : fy    Heuristic : 10
word : op anchor( col :  9 row : 6 ) score : 7 new tiles : op    Heuristic : 3
word : oaf anchor( col :  9 row : 6 ) score : 9 new tiles : oaf    Heuristic : 1.5
word : oy anchor( col :  9 row : 6 ) score : 8 new tiles : oy    Heuristic : 3.5
word : of anchor( col :  9 row : 6 ) score : 8 new tiles : of    Heuristic : 3.5
word : ofay anchor( col :  9 row : 6 ) score : 17 new tiles : ofay    Heuristic : 12.5
word : ay anchor( col :  9 row : 6 ) score : 8 new tiles : ay    Heuristic : -1
word : apod anchor( col :  9 row : 6 ) score : 13 new tiles : apo    Heuristic : 6
word : pod anchor( col :  9 row : 6 ) score : 12 new tiles : po    Heuristic : 8
word : pood anchor( col :  9 row : 6 ) score : 9 new tiles : poo    Heuristic : 4.5
word : food anchor( col :  9 row : 6 ) score : 10 new tiles : foo    Heuristic : 5
word : yod anchor( col :  9 row : 6 ) score : 15 new tiles : yo    Heuristic : 10.5
word : od anchor( col :  9 row : 6 ) score : 3 new tiles : o    Heuristic : -4.5
word : pa anchor( col :  9 row : 6 ) score : 12 new tiles : pa    Heuristic : 3.5
word : pad anchor( col :  9 row : 6 ) score : 12 new tiles : pa    Heuristic : 3.5
word : fa anchor( col :  9 row : 6 ) score : 15 new tiles : fa    Heuristic : 6
word : fad anchor( col :  9 row : 6 ) score : 15 new tiles : fa    Heuristic : 6
word : fado anchor( col :  9 row : 6 ) score : 16 new tiles : fao    Heuristic : 8.5
word : ad anchor( col :  9 row : 6 ) score : 3 new tiles : a    Heuristic : -9
word : ado anchor( col :  9 row : 6 ) score : 4 new tiles : ao    Heuristic : -6.5
word : award anchor( col :  5 row : 7 ) score : 9 new tiles : a    Heuristic : -3
word : pa anchor( col :  5 row : 7 ) score : 13 new tiles : pa    Heuristic : 4.5
word : pap anchor( col :  5 row : 7 ) score : 16 new tiles : pap    Heuristic : 9
word : pay anchor( col :  5 row : 7 ) score : 17 new tiles : pay    Heuristic : 10.5
word : oaf anchor( col :  5 row : 7 ) score : 15 new tiles : oaf    Heuristic : 7.5
word : ya anchor( col :  5 row : 7 ) score : 14 new tiles : ya    Heuristic : 5
word : pya anchor( col :  5 row : 7 ) score : 23 new tiles : pya    Heuristic : 16.5
word : yap anchor( col :  5 row : 7 ) score : 17 new tiles : yap    Heuristic : 10.5
word : fa anchor( col :  5 row : 7 ) score : 14 new tiles : fa    Heuristic : 5
word : ofay anchor( col :  5 row : 7 ) score : 21 new tiles : ofay    Heuristic : 16.5
word : fay anchor( col :  5 row : 7 ) score : 18 new tiles : fay    Heuristic : 11
word : ay anchor( col :  5 row : 7 ) score : 14 new tiles : ay    Heuristic : 5
word : foy anchor( col :  6 row : 8 ) score : 21 new tiles : foy    Heuristic : 18.5
word : oy anchor( col :  6 row : 8 ) score : 17 new tiles : oy    Heuristic : 12.5
word : wo anchor( col :  6 row : 8 ) score : 6 new tiles : o    Heuristic : -1.5
word : wop anchor( col :  6 row : 8 ) score : 9 new tiles : op    Heuristic : 5
word : woo anchor( col :  6 row : 8 ) score : 7 new tiles : oo    Heuristic : -1
word : woof anchor( col :  6 row : 8 ) score : 11 new tiles : oof    Heuristic : 6
word : wap anchor( col :  6 row : 8 ) score : 9 new tiles : ap    Heuristic : 0.5
word : way anchor( col :  6 row : 8 ) score : 10 new tiles : ay    Heuristic : 1
