******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : fwulxth

word : nail anchor( col :  8 row : 6 ) score : 5 new tiles : nai    Heuristic : -15.5
word : tail anchor( col :  8 row : 6 ) score : 5 new tiles : tai    Heuristic : -15
word : wail anchor( col :  8 row : 6 ) score : 8 new tiles : wai    Heuristic : -8
word : nil anchor( col :  8 row : 6 ) score : 4 new tiles : ni    Heuristic : -13.5
word : anil anchor( col :  8 row : 6 ) score : 5 new tiles : ani    Heuristic : -15.5
word : til anchor( col :  8 row : 6 ) score : 4 new tiles : ti    Heuristic : -13
word : wilt anchor( col :  8 row : 6 ) score : 9 new tiles : wit    Heuristic : -3
word : wilga anchor( col :  8 row : 6 ) score : 12 new tiles : wiga    Heuristic : -1
word : gila anchor( col :  8 row : 6 ) score : 7 new tiles : gia    Heuristic : -11
word : gilt anchor( col :  8 row : 6 ) score : 7 new tiles : git    Heuristic : -7
word : awl anchor( col :  8 row : 6 ) score : 10 new tiles : aw    Heuristic : -4.5
word : glia anchor( col :  8 row : 6 ) score : 8 new tiles : gia    Heuristic : -10
word : glint anchor( col :  8 row : 6 ) score : 9 new tiles : gint    Heuristic : -4.5
word : glit anchor( col :  8 row : 6 ) score : 8 new tiles : git    Heuristic : -6
word : na anchor( col :  9 row : 6 ) score : 13 new tiles : na    Heuristic : -6
word : nat anchor( col :  9 row : 6 ) score : 14 new tiles : nat    Heuristic : -4
word : naw anchor( col :  9 row : 6 ) score : 17 new tiles : naw    Heuristic : 3
word : nag anchor( col :  9 row : 6 ) score : 15 new tiles : nag    Heuristic : -1
word : gain anchor( col :  9 row : 6 ) score : 18 new tiles : gain    Heuristic : 0.5
word : gait anchor( col :  9 row : 6 ) score : 18 new tiles : gait    Heuristic : 1
word : gan anchor( col :  9 row : 6 ) score : 16 new tiles : gan    Heuristic : 0
word : gant anchor( col :  9 row : 6 ) score : 18 new tiles : gant    Heuristic : 3
word : gat anchor( col :  9 row : 6 ) score : 16 new tiles : gat    Heuristic : 0.5
word : gaw anchor( col :  9 row : 6 ) score : 19 new tiles : gaw    Heuristic : 7.5
word : qua anchor( col :  9 row : 6 ) score : 12 new tiles : qa    Heuristic : 5
word : quai anchor( col :  9 row : 6 ) score : 15 new tiles : qai    Heuristic : 6.5
word : quaint anchor( col :  9 row : 6 ) score : 17 new tiles : qaint    Heuristic : 10
word : quant anchor( col :  9 row : 6 ) score : 16 new tiles : qant    Heuristic : 10.5
word : quat anchor( col :  9 row : 6 ) score : 15 new tiles : qat    Heuristic : 9
word : quag anchor( col :  9 row : 6 ) score : 18 new tiles : qag    Heuristic : 14
word : quin anchor( col :  9 row : 6 ) score : 15 new tiles : qin    Heuristic : 10
word : quina anchor( col :  9 row : 6 ) score : 16 new tiles : qina    Heuristic : 8
word : quint anchor( col :  9 row : 6 ) score : 16 new tiles : qint    Heuristic : 12
word : quinta anchor( col :  9 row : 6 ) score : 17 new tiles : qinta    Heuristic : 10
word : quit anchor( col :  9 row : 6 ) score : 15 new tiles : qit    Heuristic : 10.5
word : tau anchor( col :  9 row : 6 ) score : 5 new tiles : ta    Heuristic : -13.5
word : gau anchor( col :  9 row : 6 ) score : 8 new tiles : ga    Heuristic : -8.5
word : gaun anchor( col :  9 row : 6 ) score : 9 new tiles : gan    Heuristic : -7
word : gaunt anchor( col :  9 row : 6 ) score : 12 new tiles : gant    Heuristic : -3
word : aunt anchor( col :  9 row : 6 ) score : 6 new tiles : ant    Heuristic : -12
word : nu anchor( col :  9 row : 6 ) score : 2 new tiles : n    Heuristic : -14
word : gnu anchor( col :  9 row : 6 ) score : 8 new tiles : gn    Heuristic : -5
word : nut anchor( col :  9 row : 6 ) score : 3 new tiles : nt    Heuristic : -12
word : aitu anchor( col :  9 row : 6 ) score : 6 new tiles : ait    Heuristic : -14
word : tuan anchor( col :  9 row : 6 ) score : 6 new tiles : tan    Heuristic : -12
word : tui anchor( col :  9 row : 6 ) score : 3 new tiles : ti    Heuristic : -14
word : tuina anchor( col :  9 row : 6 ) score : 7 new tiles : tina    Heuristic : -12.5
word : tun anchor( col :  9 row : 6 ) score : 3 new tiles : tn    Heuristic : -12
word : tuna anchor( col :  9 row : 6 ) score : 6 new tiles : tna    Heuristic : -12
word : tung anchor( col :  9 row : 6 ) score : 9 new tiles : tng    Heuristic : -4
word : tug anchor( col :  9 row : 6 ) score : 4 new tiles : tg    Heuristic : -8.5
word : gu anchor( col :  9 row : 6 ) score : 3 new tiles : g    Heuristic : -10.5
word : aguti anchor( col :  9 row : 6 ) score : 10 new tiles : agti    Heuristic : -7
word : guqin anchor( col :  9 row : 6 ) score : 17 new tiles : gqin    Heuristic : 15
word : guan anchor( col :  9 row : 6 ) score : 7 new tiles : gan    Heuristic : -9
word : gun anchor( col :  9 row : 6 ) score : 4 new tiles : gn    Heuristic : -9
word : gut anchor( col :  9 row : 6 ) score : 4 new tiles : gt    Heuristic : -8.5
word : ai anchor( col :  10 row : 6 ) score : 11 new tiles : ai    Heuristic : -10
word : ain anchor( col :  10 row : 6 ) score : 13 new tiles : ain    Heuristic : -7.5
word : ait anchor( col :  10 row : 6 ) score : 13 new tiles : ait    Heuristic : -7
word : an anchor( col :  10 row : 6 ) score : 11 new tiles : an    Heuristic : -8
word : ani anchor( col :  10 row : 6 ) score : 13 new tiles : ani    Heuristic : -7.5
word : ant anchor( col :  10 row : 6 ) score : 13 new tiles : ant    Heuristic : -5
word : anti anchor( col :  10 row : 6 ) score : 14 new tiles : anti    Heuristic : -5.5
word : at anchor( col :  10 row : 6 ) score : 11 new tiles : at    Heuristic : -7.5
word : aw anchor( col :  10 row : 6 ) score : 14 new tiles : aw    Heuristic : -0.5
word : awn anchor( col :  10 row : 6 ) score : 16 new tiles : awn    Heuristic : 2
word : ag anchor( col :  10 row : 6 ) score : 12 new tiles : ag    Heuristic : -4.5
word : agin anchor( col :  10 row : 6 ) score : 15 new tiles : agin    Heuristic : -2.5
