******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : dwaargs

word : rags anchor( col :  7 row : 7 ) score : 10 new tiles : rags    Heuristic : 8
word : ras anchor( col :  7 row : 7 ) score : 6 new tiles : ras    Heuristic : 1
word : aga anchor( col :  7 row : 7 ) score : 8 new tiles : aga    Heuristic : 10
word : raga anchor( col :  7 row : 7 ) score : 10 new tiles : raga    Heuristic : 11.5
word : ragas anchor( col :  7 row : 7 ) score : 12 new tiles : ragas    Heuristic : 7
word : saga anchor( col :  7 row : 7 ) score : 10 new tiles : saga    Heuristic : 5.5
word : agar anchor( col :  7 row : 7 ) score : 10 new tiles : agar    Heuristic : 11.5
word : agars anchor( col :  7 row : 7 ) score : 12 new tiles : agars    Heuristic : 7
word : agas anchor( col :  7 row : 7 ) score : 10 new tiles : agas    Heuristic : 5.5
word : darga anchor( col :  7 row : 7 ) score : 18 new tiles : darga    Heuristic : 20.5
word : dargas anchor( col :  7 row : 7 ) score : 20 new tiles : dargas    Heuristic : 16
word : gad anchor( col :  7 row : 7 ) score : 10 new tiles : gad    Heuristic : 16
word : gads anchor( col :  7 row : 7 ) score : 12 new tiles : gads    Heuristic : 11.5
word : gaw anchor( col :  7 row : 7 ) score : 14 new tiles : gaw    Heuristic : 24
word : gawd anchor( col :  7 row : 7 ) score : 18 new tiles : gawd    Heuristic : 29
word : gawds anchor( col :  7 row : 7 ) score : 20 new tiles : gawds    Heuristic : 23.5
word : gaws anchor( col :  7 row : 7 ) score : 16 new tiles : gaws    Heuristic : 19.5
word : gar anchor( col :  7 row : 7 ) score : 8 new tiles : gar    Heuristic : 12.5
word : garda anchor( col :  7 row : 7 ) score : 14 new tiles : garda    Heuristic : 16.5
word : gars anchor( col :  7 row : 7 ) score : 10 new tiles : gars    Heuristic : 8
word : gas anchor( col :  7 row : 7 ) score : 8 new tiles : gas    Heuristic : 6.5
word : asar anchor( col :  7 row : 7 ) score : 8 new tiles : asar    Heuristic : 0
word : sad anchor( col :  7 row : 7 ) score : 8 new tiles : sad    Heuristic : 4.5
word : saw anchor( col :  7 row : 7 ) score : 12 new tiles : saw    Heuristic : 12.5
word : saag anchor( col :  7 row : 7 ) score : 10 new tiles : saag    Heuristic : 5.5
word : sar anchor( col :  7 row : 7 ) score : 6 new tiles : sar    Heuristic : 1
word : sard anchor( col :  7 row : 7 ) score : 10 new tiles : sard    Heuristic : 6
word : sag anchor( col :  7 row : 7 ) score : 8 new tiles : sag    Heuristic : 6.5
word : saga anchor( col :  7 row : 7 ) score : 10 new tiles : saga    Heuristic : 5.5
word : ad anchor( col :  7 row : 7 ) score : 6 new tiles : ad    Heuristic : 9
word : adaw anchor( col :  7 row : 7 ) score : 16 new tiles : adaw    Heuristic : 21
word : adaws anchor( col :  7 row : 7 ) score : 20 new tiles : adaws    Heuristic : 18.5
word : ads anchor( col :  7 row : 7 ) score : 8 new tiles : ads    Heuristic : 4.5
word : aw anchor( col :  7 row : 7 ) score : 10 new tiles : aw    Heuristic : 17
word : awa anchor( col :  7 row : 7 ) score : 12 new tiles : awa    Heuristic : 16
word : award anchor( col :  7 row : 7 ) score : 22 new tiles : award    Heuristic : 26.5
word : awards anchor( col :  7 row : 7 ) score : 24 new tiles : awards    Heuristic : 22
word : aa anchor( col :  7 row : 7 ) score : 4 new tiles : aa    Heuristic : 3
word : aas anchor( col :  7 row : 7 ) score : 6 new tiles : aas    Heuristic : -1.5
word : ar anchor( col :  7 row : 7 ) score : 4 new tiles : ar    Heuristic : 5.5
word : ard anchor( col :  7 row : 7 ) score : 8 new tiles : ard    Heuristic : 10.5
word : ards anchor( col :  7 row : 7 ) score : 10 new tiles : ards    Heuristic : 6
word : ars anchor( col :  7 row : 7 ) score : 6 new tiles : ars    Heuristic : 1
word : ag anchor( col :  7 row : 7 ) score : 6 new tiles : ag    Heuristic : 11
word : aga anchor( col :  7 row : 7 ) score : 8 new tiles : aga    Heuristic : 10
word : agar anchor( col :  7 row : 7 ) score : 10 new tiles : agar    Heuristic : 11.5
word : agars anchor( col :  7 row : 7 ) score : 14 new tiles : agars    Heuristic : 9
word : agas anchor( col :  7 row : 7 ) score : 10 new tiles : agas    Heuristic : 5.5
word : ags anchor( col :  7 row : 7 ) score : 8 new tiles : ags    Heuristic : 6.5
word : as anchor( col :  7 row : 7 ) score : 4 new tiles : as    Heuristic : -0.5
word : asar anchor( col :  7 row : 7 ) score : 8 new tiles : asar    Heuristic : 0
word : draw anchor( col :  7 row : 7 ) score : 16 new tiles : draw    Heuristic : 23.5
word : draws anchor( col :  7 row : 7 ) score : 18 new tiles : draws    Heuristic : 18
word : drag anchor( col :  7 row : 7 ) score : 12 new tiles : drag    Heuristic : 17.5
word : drags anchor( col :  7 row : 7 ) score : 14 new tiles : drags    Heuristic : 12
word : ar anchor( col :  7 row : 7 ) score : 4 new tiles : ar    Heuristic : 5.5
word : darg anchor( col :  7 row : 7 ) score : 12 new tiles : darg    Heuristic : 17.5
word : darga anchor( col :  7 row : 7 ) score : 14 new tiles : darga    Heuristic : 16.5
word : dargas anchor( col :  7 row : 7 ) score : 16 new tiles : dargas    Heuristic : 12
word : dargs anchor( col :  7 row : 7 ) score : 14 new tiles : dargs    Heuristic : 12
word : war anchor( col :  7 row : 7 ) score : 12 new tiles : war    Heuristic : 18.5
word : award anchor( col :  7 row : 7 ) score : 18 new tiles : award    Heuristic : 22.5
word : awards anchor( col :  7 row : 7 ) score : 20 new tiles : awards    Heuristic : 18
word : sward anchor( col :  7 row : 7 ) score : 18 new tiles : sward    Heuristic : 18
word : ward anchor( col :  7 row : 7 ) score : 16 new tiles : ward    Heuristic : 23.5
word : wards anchor( col :  7 row : 7 ) score : 18 new tiles : wards    Heuristic : 18
word : wars anchor( col :  7 row : 7 ) score : 14 new tiles : wars    Heuristic : 14
word : gar anchor( col :  7 row : 7 ) score : 8 new tiles : gar    Heuristic : 12.5
word : agar anchor( col :  7 row : 7 ) score : 10 new tiles : agar    Heuristic : 11.5
word : agars anchor( col :  7 row : 7 ) score : 12 new tiles : agars    Heuristic : 7
word : garda anchor( col :  7 row : 7 ) score : 14 new tiles : garda    Heuristic : 16.5
word : gars anchor( col :  7 row : 7 ) score : 10 new tiles : gars    Heuristic : 8
