******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : gy*rsji

word : tyg anchor( col :  7 row : 7 ) score : 12 new tiles : tyg    Heuristic : 17.5
word : tygs anchor( col :  7 row : 7 ) score : 14 new tiles : tygs    Heuristic : 13
word : ygo anchor( col :  7 row : 7 ) score : 12 new tiles : ygo    Heuristic : 17.5
word : ag anchor( col :  7 row : 7 ) score : 4 new tiles : ag    Heuristic : 6.5
word : yag anchor( col :  7 row : 7 ) score : 12 new tiles : yag    Heuristic : 17.5
word : yags anchor( col :  7 row : 7 ) score : 14 new tiles : yags    Heuristic : 13
word : yagi anchor( col :  7 row : 7 ) score : 14 new tiles : yagi    Heuristic : 18
word : yagis anchor( col :  7 row : 7 ) score : 16 new tiles : yagis    Heuristic : 13.5
word : rag anchor( col :  7 row : 7 ) score : 6 new tiles : rag    Heuristic : 8
word : rags anchor( col :  7 row : 7 ) score : 8 new tiles : rags    Heuristic : 3.5
word : ragi anchor( col :  7 row : 7 ) score : 8 new tiles : ragi    Heuristic : 8.5
word : ragis anchor( col :  7 row : 7 ) score : 10 new tiles : ragis    Heuristic : 4
word : sag anchor( col :  7 row : 7 ) score : 6 new tiles : sag    Heuristic : 2
word : sagy anchor( col :  7 row : 7 ) score : 14 new tiles : sagy    Heuristic : 13
word : jag anchor( col :  7 row : 7 ) score : 20 new tiles : jag    Heuristic : 26.5
word : jags anchor( col :  7 row : 7 ) score : 22 new tiles : jags    Heuristic : 22
word : jagir anchor( col :  7 row : 7 ) score : 24 new tiles : jagir    Heuristic : 28.5
word : jagirs anchor( col :  7 row : 7 ) score : 26 new tiles : jagirs    Heuristic : 24
word : ags anchor( col :  7 row : 7 ) score : 6 new tiles : ags    Heuristic : 2
word : ridgy anchor( col :  7 row : 7 ) score : 16 new tiles : ridgy    Heuristic : 19.5
word : reg anchor( col :  7 row : 7 ) score : 6 new tiles : reg    Heuristic : 8
word : regs anchor( col :  7 row : 7 ) score : 8 new tiles : regs    Heuristic : 3.5
word : seg anchor( col :  7 row : 7 ) score : 6 new tiles : seg    Heuristic : 2
word : egis anchor( col :  7 row : 7 ) score : 8 new tiles : egis    Heuristic : 2.5
word : igg anchor( col :  7 row : 7 ) score : 6 new tiles : igg    Heuristic : 7
word : rigg anchor( col :  7 row : 7 ) score : 8 new tiles : rigg    Heuristic : 8.5
word : riggs anchor( col :  7 row : 7 ) score : 10 new tiles : riggs    Heuristic : 4
word : jiggy anchor( col :  7 row : 7 ) score : 30 new tiles : jiggy    Heuristic : 38
word : iggs anchor( col :  7 row : 7 ) score : 8 new tiles : iggs    Heuristic : 2.5
word : rig anchor( col :  7 row : 7 ) score : 8 new tiles : rig    Heuristic : 10
word : rigs anchor( col :  7 row : 7 ) score : 10 new tiles : rigs    Heuristic : 5.5
word : jig anchor( col :  7 row : 7 ) score : 22 new tiles : jig    Heuristic : 28.5
word : jigs anchor( col :  7 row : 7 ) score : 24 new tiles : jigs    Heuristic : 24
