******HUMAN TURN******

******HUMAN RESULT******
RACK : ZKHPIE*

HUMAN MOVE : heap , new tiles : hpe* , score : 16 , direction : 2 , col : 7 , row : 11


******COMPUTER TURN******
RACK : avhdopr

word : hi anchor( col :  8 row : 7 ) score : 5 new tiles : i    Heuristic : -17
word : pav anchor( col :  8 row : 9 ) score : 8 new tiles : v    Heuristic : -6
word : pax anchor( col :  8 row : 9 ) score : 12 new tiles : x    Heuristic : -4
word : paw anchor( col :  8 row : 9 ) score : 8 new tiles : w    Heuristic : -7.5
word : pap anchor( col :  8 row : 9 ) score : 7 new tiles : p    Heuristic : -11
word : pi anchor( col :  8 row : 10 ) score : 4 new tiles : i    Heuristic : -18
word : aheap anchor( col :  7 row : 6 ) score : 10 new tiles : a    Heuristic : -0.5
word : ar anchor( col :  5 row : 7 ) score : 2 new tiles : a    Heuristic : -8.5
word : or anchor( col :  5 row : 7 ) score : 2 new tiles : o    Heuristic : -6
word : oh anchor( col :  6 row : 7 ) score : 10 new tiles : o    Heuristic : 2
word : oop anchor( col :  6 row : 7 ) score : 10 new tiles : o    Heuristic : 2
word : ha anchor( col :  8 row : 7 ) score : 5 new tiles : a    Heuristic : -5.5
word : ho anchor( col :  8 row : 7 ) score : 5 new tiles : o    Heuristic : -3
word : wo anchor( col :  8 row : 6 ) score : 9 new tiles : w    Heuristic : -2
word : ko anchor( col :  8 row : 6 ) score : 11 new tiles : k    Heuristic : -1.5
word : io anchor( col :  8 row : 6 ) score : 3 new tiles : i    Heuristic : -14.5
word : po anchor( col :  8 row : 6 ) score : 7 new tiles : p    Heuristic : -6.5
word : mo anchor( col :  8 row : 6 ) score : 7 new tiles : m    Heuristic : -7
word : ur anchor( col :  5 row : 7 ) score : 2 new tiles : u    Heuristic : -13
word : who anchor( col :  6 row : 7 ) score : 17 new tiles : w    Heuristic : 6
word : pho anchor( col :  6 row : 7 ) score : 15 new tiles : p    Heuristic : 1.5
word : mho anchor( col :  6 row : 7 ) score : 15 new tiles : m    Heuristic : 1
word : wop anchor( col :  6 row : 7 ) score : 17 new tiles : w    Heuristic : 6
word : pop anchor( col :  6 row : 7 ) score : 15 new tiles : p    Heuristic : 1.5
word : mop anchor( col :  6 row : 7 ) score : 15 new tiles : m    Heuristic : 1
word : hox anchor( col :  9 row : 7 ) score : 13 new tiles : x    Heuristic : 1.5
word : how anchor( col :  9 row : 7 ) score : 9 new tiles : w    Heuristic : -2
word : hoi anchor( col :  9 row : 7 ) score : 6 new tiles : i    Heuristic : -11.5
word : hop anchor( col :  9 row : 7 ) score : 8 new tiles : p    Heuristic : -5.5
word : hom anchor( col :  9 row : 7 ) score : 8 new tiles : m    Heuristic : -6
word : aheap anchor( col :  7 row : 6 ) score : 10 new tiles : a    Heuristic : -3
word : ho anchor( col :  8 row : 6 ) score : 9 new tiles : h    Heuristic : -0.5
word : do anchor( col :  8 row : 6 ) score : 5 new tiles : d    Heuristic : -4
word : lo anchor( col :  8 row : 6 ) score : 3 new tiles : l    Heuristic : -5
word : aw anchor( col :  9 row : 6 ) score : 5 new tiles : a    Heuristic : -8
word : ar anchor( col :  5 row : 7 ) score : 2 new tiles : a    Heuristic : -11
word : dhow anchor( col :  6 row : 7 ) score : 17 new tiles : d    Heuristic : 8
word : dop anchor( col :  6 row : 7 ) score : 17 new tiles : d    Heuristic : 8
word : howl anchor( col :  10 row : 7 ) score : 10 new tiles : l    Heuristic : 2
word : udo anchor( col :  8 row : 5 ) score : 4 new tiles : u    Heuristic : -7
word : kudo anchor( col :  8 row : 5 ) score : 9 new tiles : ku    Heuristic : 1.5
word : ur anchor( col :  5 row : 7 ) score : 2 new tiles : u    Heuristic : -9
word : howk anchor( col :  10 row : 7 ) score : 14 new tiles : k    Heuristic : 4.5
word : ka anchor( col :  9 row : 4 ) score : 6 new tiles : a    Heuristic : -7
word : kart anchor( col :  9 row : 4 ) score : 16 new tiles : art    Heuristic : 8.5
word : kat anchor( col :  9 row : 4 ) score : 14 new tiles : at    Heuristic : 2
word : uh anchor( col :  9 row : 5 ) score : 13 new tiles : h    Heuristic : 3.5
word : ur anchor( col :  9 row : 5 ) score : 4 new tiles : r    Heuristic : -1.5
word : ut anchor( col :  9 row : 5 ) score : 4 new tiles : t    Heuristic : -5
word : ad anchor( col :  7 row : 6 ) score : 13 new tiles : a    Heuristic : 0
word : aheap anchor( col :  7 row : 6 ) score : 13 new tiles : a    Heuristic : 0
word : da anchor( col :  9 row : 6 ) score : 8 new tiles : a    Heuristic : -5
word : aw anchor( col :  9 row : 6 ) score : 8 new tiles : a    Heuristic : -5
word : ar anchor( col :  5 row : 7 ) score : 2 new tiles : a    Heuristic : -11
word : howl anchor( col :  10 row : 7 ) score : 10 new tiles : l    Heuristic : 2
word : ki anchor( col :  9 row : 4 ) score : 6 new tiles : i    Heuristic : -12
word : kip anchor( col :  9 row : 4 ) score : 18 new tiles : ip    Heuristic : 2.5
word : xu anchor( col :  7 row : 5 ) score : 9 new tiles : x    Heuristic : -3
word : mu anchor( col :  7 row : 5 ) score : 4 new tiles : m    Heuristic : -10.5
word : up anchor( col :  9 row : 5 ) score : 24 new tiles : p    Heuristic : 10
word : um anchor( col :  9 row : 5 ) score : 24 new tiles : m    Heuristic : 9.5
word : paw anchor( col :  9 row : 5 ) score : 24 new tiles : p    Heuristic : 10
word : maw anchor( col :  9 row : 5 ) score : 24 new tiles : m    Heuristic : 9.5
word : dap anchor( col :  10 row : 6 ) score : 6 new tiles : p    Heuristic : -8
word : dam anchor( col :  10 row : 6 ) score : 6 new tiles : m    Heuristic : -8.5
word : daw anchor( col :  10 row : 6 ) score : 7 new tiles : w    Heuristic : -4.5
word : ur anchor( col :  5 row : 7 ) score : 2 new tiles : u    Heuristic : -13.5
word : whow anchor( col :  6 row : 7 ) score : 21 new tiles : w    Heuristic : 9.5
word : wop anchor( col :  6 row : 7 ) score : 21 new tiles : w    Heuristic : 9.5
word : ka anchor( col :  9 row : 4 ) score : 6 new tiles : a    Heuristic : -7
word : kart anchor( col :  9 row : 4 ) score : 16 new tiles : art    Heuristic : 8.5
word : kat anchor( col :  9 row : 4 ) score : 14 new tiles : at    Heuristic : 2
word : uh anchor( col :  9 row : 5 ) score : 30 new tiles : h    Heuristic : 20.5
word : ur anchor( col :  9 row : 5 ) score : 12 new tiles : r    Heuristic : 6.5
word : ut anchor( col :  9 row : 5 ) score : 12 new tiles : t    Heuristic : 3
word : haw anchor( col :  9 row : 5 ) score : 30 new tiles : h    Heuristic : 20.5
word : raw anchor( col :  9 row : 5 ) score : 12 new tiles : r    Heuristic : 6.5
word : taw anchor( col :  9 row : 5 ) score : 12 new tiles : t    Heuristic : 3
word : hm anchor( col :  10 row : 5 ) score : 7 new tiles : h    Heuristic : -2.5
word : am anchor( col :  10 row : 5 ) score : 4 new tiles : a    Heuristic : -9
word : ar anchor( col :  5 row : 7 ) score : 2 new tiles : a    Heuristic : -11
word : awl anchor( col :  9 row : 8 ) score : 6 new tiles : l    Heuristic : -2
word : awa anchor( col :  9 row : 8 ) score : 6 new tiles : a    Heuristic : -7
word : ur anchor( col :  8 row : 5 ) score : 2 new tiles : u    Heuristic : -14.5
word : kuri anchor( col :  8 row : 5 ) score : 13 new tiles : kui    Heuristic : -1.5
word : var anchor( col :  6 row : 6 ) score : 10 new tiles : v    Heuristic : -1
word : war anchor( col :  6 row : 6 ) score : 10 new tiles : w    Heuristic : -2.5
word : ark anchor( col :  9 row : 6 ) score : 7 new tiles : k    Heuristic : -7
word : uh anchor( col :  6 row : 7 ) score : 5 new tiles : u    Heuristic : -11.5
word : re anchor( col :  6 row : 8 ) score : 3 new tiles : r    Heuristic : -15
word : we anchor( col :  6 row : 8 ) score : 9 new tiles : w    Heuristic : -3.5
word : er anchor( col :  8 row : 8 ) score : 3 new tiles : r    Heuristic : -15
word : ex anchor( col :  8 row : 8 ) score : 17 new tiles : x    Heuristic : 4
word : ka anchor( col :  6 row : 9 ) score : 6 new tiles : k    Heuristic : -8
