******HUMAN TURN******

******HUMAN RESULT******
RACK : OGGGYNK

HUMAN MOVE : go , score : 6 , direction : 1 , col : 9 , row : 7


******COMPUTER TURN******
RACK : icbbel*

word : bilgy anchor( col :  7 row : 6 ) score : 7 new tiles : bily    Heuristic : 8
word : bilge anchor( col :  7 row : 6 ) score : 8 new tiles : bile    Heuristic : -1
word : belga anchor( col :  7 row : 6 ) score : 7 new tiles : bela    Heuristic : 3.5
word : bilge anchor( col :  7 row : 6 ) score : 8 new tiles : bile    Heuristic : 4.5
word : bulge anchor( col :  7 row : 6 ) score : 7 new tiles : bule    Heuristic : 3.5
word : cage anchor( col :  7 row : 6 ) score : 6 new tiles : cae    Heuristic : -2
word : ba anchor( col :  7 row : 6 ) score : 5 new tiles : ba    Heuristic : 5.5
word : bag anchor( col :  7 row : 6 ) score : 5 new tiles : ba    Heuristic : 5.5
word : bagel anchor( col :  7 row : 6 ) score : 7 new tiles : bael    Heuristic : 3.5
word : la anchor( col :  7 row : 6 ) score : 3 new tiles : la    Heuristic : 1.5
word : clag anchor( col :  7 row : 6 ) score : 6 new tiles : cla    Heuristic : 5
word : lag anchor( col :  7 row : 6 ) score : 3 new tiles : la    Heuristic : 1.5
word : ag anchor( col :  7 row : 6 ) score : 2 new tiles : a    Heuristic : -1.5
word : agile anchor( col :  7 row : 6 ) score : 5 new tiles : aile    Heuristic : -4
word : age anchor( col :  7 row : 6 ) score : 3 new tiles : ae    Heuristic : -6.5
word : be anchor( col :  7 row : 6 ) score : 6 new tiles : be    Heuristic : 6.5
word : beg anchor( col :  7 row : 6 ) score : 6 new tiles : be    Heuristic : 6.5
word : leg anchor( col :  7 row : 6 ) score : 4 new tiles : le    Heuristic : 2.5
word : egg anchor( col :  7 row : 6 ) score : 3 new tiles : eg    Heuristic : -6.5
word : bi anchor( col :  7 row : 6 ) score : 6 new tiles : bi    Heuristic : 6.5
word : big anchor( col :  7 row : 6 ) score : 6 new tiles : bi    Heuristic : 6.5
word : bilge anchor( col :  7 row : 6 ) score : 8 new tiles : bile    Heuristic : 1
word : ebbing anchor( col :  7 row : 6 ) score : 13 new tiles : ebbin    Heuristic : 10.5
word : binge anchor( col :  7 row : 6 ) score : 7 new tiles : bine    Heuristic : 0
word : being anchor( col :  7 row : 6 ) score : 10 new tiles : bein    Heuristic : 3
word : lin anchor( col :  7 row : 6 ) score : 4 new tiles : lin    Heuristic : 1
word : cling anchor( col :  7 row : 6 ) score : 10 new tiles : clin    Heuristic : 8.5
word : ling anchor( col :  7 row : 6 ) score : 4 new tiles : lin    Heuristic : 1
word : ingle anchor( col :  7 row : 6 ) score : 5 new tiles : inle    Heuristic : -4
word : en anchor( col :  7 row : 6 ) score : 3 new tiles : en    Heuristic : -6.5
word : eng anchor( col :  7 row : 6 ) score : 3 new tiles : en    Heuristic : -6.5
word : cog anchor( col :  7 row : 6 ) score : 5 new tiles : co    Heuristic : 3
word : bo anchor( col :  7 row : 6 ) score : 5 new tiles : bo    Heuristic : 5.5
word : bog anchor( col :  7 row : 6 ) score : 5 new tiles : bo    Heuristic : 5.5
word : bogie anchor( col :  7 row : 6 ) score : 7 new tiles : boie    Heuristic : 0
word : bogle anchor( col :  7 row : 6 ) score : 7 new tiles : bole    Heuristic : 3.5
word : lo anchor( col :  7 row : 6 ) score : 3 new tiles : lo    Heuristic : 1.5
word : beclog anchor( col :  7 row : 6 ) score : 11 new tiles : beclo    Heuristic : 8
word : clog anchor( col :  7 row : 6 ) score : 6 new tiles : clo    Heuristic : 5
word : log anchor( col :  7 row : 6 ) score : 3 new tiles : lo    Heuristic : 1.5
word : logic anchor( col :  7 row : 6 ) score : 7 new tiles : loic    Heuristic : 5.5
word : loge anchor( col :  7 row : 6 ) score : 4 new tiles : loe    Heuristic : -3.5
word : ogle anchor( col :  7 row : 6 ) score : 4 new tiles : ole    Heuristic : -3.5
word : er anchor( col :  7 row : 6 ) score : 3 new tiles : er    Heuristic : -6.5
word : berg anchor( col :  7 row : 6 ) score : 6 new tiles : ber    Heuristic : 0.5
word : erg anchor( col :  7 row : 6 ) score : 3 new tiles : er    Heuristic : -6.5
word : bug anchor( col :  7 row : 6 ) score : 5 new tiles : bu    Heuristic : 5.5
word : bugle anchor( col :  7 row : 6 ) score : 7 new tiles : bule    Heuristic : 3.5
word : lug anchor( col :  7 row : 6 ) score : 3 new tiles : lu    Heuristic : 1.5
word : luge anchor( col :  7 row : 6 ) score : 4 new tiles : lue    Heuristic : -3.5
word : bi anchor( col :  8 row : 6 ) score : 14 new tiles : bi    Heuristic : 37.5
word : bice anchor( col :  8 row : 6 ) score : 18 new tiles : bice    Heuristic : 37
word : bices anchor( col :  8 row : 6 ) score : 18 new tiles : bices    Heuristic : 12.5
word : bice anchor( col :  8 row : 6 ) score : 18 new tiles : bice    Heuristic : 18.5
word : bib anchor( col :  8 row : 6 ) score : 17 new tiles : bib    Heuristic : 45
word : bible anchor( col :  8 row : 6 ) score : 20 new tiles : bible    Heuristic : 44
word : bibles anchor( col :  8 row : 6 ) score : 20 new tiles : bibles    Heuristic : 19.5
word : bible anchor( col :  8 row : 6 ) score : 20 new tiles : bible    Heuristic : 24.5
word : bibb anchor( col :  8 row : 6 ) score : 17 new tiles : bibb    Heuristic : 20.5
word : bible anchor( col :  8 row : 6 ) score : 20 new tiles : bible    Heuristic : 17.5
word : bibs anchor( col :  8 row : 6 ) score : 17 new tiles : bibs    Heuristic : 20.5
word : bield anchor( col :  8 row : 6 ) score : 16 new tiles : bield    Heuristic : 11
word : bier anchor( col :  8 row : 6 ) score : 15 new tiles : bier    Heuristic : 8
word : bilbo anchor( col :  8 row : 6 ) score : 18 new tiles : bilbo    Heuristic : 22.5
word : bile anchor( col :  8 row : 6 ) score : 16 new tiles : bile    Heuristic : 35.5
word : biles anchor( col :  8 row : 6 ) score : 16 new tiles : biles    Heuristic : 11
word : bile anchor( col :  8 row : 6 ) score : 16 new tiles : bile    Heuristic : 17
word : bilge anchor( col :  8 row : 6 ) score : 17 new tiles : bilge    Heuristic : 12
word : bilk anchor( col :  8 row : 6 ) score : 15 new tiles : bilk    Heuristic : 16
word : bill anchor( col :  8 row : 6 ) score : 15 new tiles : bill    Heuristic : 16
word : bib anchor( col :  8 row : 6 ) score : 17 new tiles : bib    Heuristic : 16
word : bible anchor( col :  8 row : 6 ) score : 20 new tiles : bible    Heuristic : 15
word : bice anchor( col :  8 row : 6 ) score : 18 new tiles : bice    Heuristic : 11
word : bid anchor( col :  8 row : 6 ) score : 14 new tiles : bid    Heuristic : 13
word : bide anchor( col :  8 row : 6 ) score : 15 new tiles : bide    Heuristic : 8
word : big anchor( col :  8 row : 6 ) score : 14 new tiles : big    Heuristic : 13
word : bike anchor( col :  8 row : 6 ) score : 15 new tiles : bike    Heuristic : 8
word : bile anchor( col :  8 row : 6 ) score : 16 new tiles : bile    Heuristic : 9
word : bin anchor( col :  8 row : 6 ) score : 14 new tiles : bin    Heuristic : 13
word : bine anchor( col :  8 row : 6 ) score : 15 new tiles : bine    Heuristic : 8
word : bio anchor( col :  8 row : 6 ) score : 14 new tiles : bio    Heuristic : 13
word : birl anchor( col :  8 row : 6 ) score : 15 new tiles : birl    Heuristic : 16
word : birle anchor( col :  8 row : 6 ) score : 17 new tiles : birle    Heuristic : 12
word : bis anchor( col :  8 row : 6 ) score : 14 new tiles : bis    Heuristic : 13
word : bise anchor( col :  8 row : 6 ) score : 15 new tiles : bise    Heuristic : 8
word : bit anchor( col :  8 row : 6 ) score : 14 new tiles : bit    Heuristic : 13
word : bite anchor( col :  8 row : 6 ) score : 15 new tiles : bite    Heuristic : 8
word : biz anchor( col :  8 row : 6 ) score : 14 new tiles : biz    Heuristic : 13
word : bize anchor( col :  8 row : 6 ) score : 15 new tiles : bize    Heuristic : 8
word : be anchor( col :  8 row : 6 ) score : 14 new tiles : be    Heuristic : 33
word : beck anchor( col :  8 row : 6 ) score : 17 new tiles : beck    Heuristic : 13
word : bel anchor( col :  8 row : 6 ) score : 15 new tiles : bel    Heuristic : 36
word : belie anchor( col :  8 row : 6 ) score : 16 new tiles : belie    Heuristic : 11
word : belch anchor( col :  8 row : 6 ) score : 18 new tiles : belch    Heuristic : 15
word : bell anchor( col :  8 row : 6 ) score : 15 new tiles : bell    Heuristic : 11.5
word : bels anchor( col :  8 row : 6 ) score : 15 new tiles : bels    Heuristic : 11.5
word : belt anchor( col :  8 row : 6 ) score : 15 new tiles : belt    Heuristic : 11.5
word : bed anchor( col :  8 row : 6 ) score : 14 new tiles : bed    Heuristic : 8.5
word : bee anchor( col :  8 row : 6 ) score : 14 new tiles : bee    Heuristic : 8.5
word : beg anchor( col :  8 row : 6 ) score : 14 new tiles : beg    Heuristic : 8.5
word : bel anchor( col :  8 row : 6 ) score : 15 new tiles : bel    Heuristic : 9.5
word : ben anchor( col :  8 row : 6 ) score : 14 new tiles : ben    Heuristic : 8.5
word : bet anchor( col :  8 row : 6 ) score : 14 new tiles : bet    Heuristic : 8.5
word : bey anchor( col :  8 row : 6 ) score : 14 new tiles : bey    Heuristic : 8.5
word : beylic anchor( col :  8 row : 6 ) score : 20 new tiles : beylic    Heuristic : 16.5
word : bezil anchor( col :  8 row : 6 ) score : 17 new tiles : bezil    Heuristic : 12
word : blin anchor( col :  8 row : 6 ) score : 15 new tiles : blin    Heuristic : 16
word : blip anchor( col :  8 row : 6 ) score : 15 new tiles : blip    Heuristic : 16
word : blite anchor( col :  8 row : 6 ) score : 17 new tiles : blite    Heuristic : 12
word : bleb anchor( col :  8 row : 6 ) score : 18 new tiles : bleb    Heuristic : 42.5
word : blebs anchor( col :  8 row : 6 ) score : 18 new tiles : blebs    Heuristic : 18
word : bleb anchor( col :  8 row : 6 ) score : 18 new tiles : bleb    Heuristic : 14.5
word : bled anchor( col :  8 row : 6 ) score : 15 new tiles : bled    Heuristic : 11.5
word : blet anchor( col :  8 row : 6 ) score : 15 new tiles : blet    Heuristic : 11.5
word : blew anchor( col :  8 row : 6 ) score : 15 new tiles : blew    Heuristic : 11.5
word : blab anchor( col :  8 row : 6 ) score : 17 new tiles : blab    Heuristic : 20
word : blae anchor( col :  8 row : 6 ) score : 15 new tiles : blae    Heuristic : 11.5
word : bleb anchor( col :  8 row : 6 ) score : 18 new tiles : bleb    Heuristic : 21
word : bloc anchor( col :  8 row : 6 ) score : 17 new tiles : bloc    Heuristic : 17
word : blob anchor( col :  8 row : 6 ) score : 17 new tiles : blob    Heuristic : 20
word : blue anchor( col :  8 row : 6 ) score : 15 new tiles : blue    Heuristic : 11.5
word : ba anchor( col :  8 row : 6 ) score : 13 new tiles : ba    Heuristic : 13.5
word : bail anchor( col :  8 row : 6 ) score : 15 new tiles : bail    Heuristic : 16
word : babe anchor( col :  8 row : 6 ) score : 17 new tiles : babe    Heuristic : 16
word : babel anchor( col :  8 row : 6 ) score : 19 new tiles : babel    Heuristic : 19
word : bal anchor( col :  8 row : 6 ) score : 14 new tiles : bal    Heuristic : 15.5
word : bale anchor( col :  8 row : 6 ) score : 15 new tiles : bale    Heuristic : 11.5
word : be anchor( col :  8 row : 6 ) score : 14 new tiles : be    Heuristic : 14.5
word : bel anchor( col :  8 row : 6 ) score : 15 new tiles : bel    Heuristic : 16.5
word : bi anchor( col :  8 row : 6 ) score : 14 new tiles : bi    Heuristic : 14.5
word : bice anchor( col :  8 row : 6 ) score : 18 new tiles : bice    Heuristic : 14
word : bib anchor( col :  8 row : 6 ) score : 17 new tiles : bib    Heuristic : 21
word : bible anchor( col :  8 row : 6 ) score : 20 new tiles : bible    Heuristic : 20
word : bile anchor( col :  8 row : 6 ) score : 16 new tiles : bile    Heuristic : 12.5
word : bleb anchor( col :  8 row : 6 ) score : 18 new tiles : bleb    Heuristic : 17
word : bo anchor( col :  8 row : 6 ) score : 13 new tiles : bo    Heuristic : 13.5
word : boil anchor( col :  8 row : 6 ) score : 15 new tiles : boil    Heuristic : 16
word : bob anchor( col :  8 row : 6 ) score : 16 new tiles : bob    Heuristic : 20
word : bole anchor( col :  8 row : 6 ) score : 15 new tiles : bole    Heuristic : 11.5
word : bribe anchor( col :  8 row : 6 ) score : 19 new tiles : bribe    Heuristic : 16.5
word : brie anchor( col :  8 row : 6 ) score : 15 new tiles : brie    Heuristic : 8
word : bub anchor( col :  8 row : 6 ) score : 16 new tiles : bub    Heuristic : 20
word : bulb anchor( col :  8 row : 6 ) score : 17 new tiles : bulb    Heuristic : 20
